id	rubro	nombre	telefono	wp	direccion	envios	whatapp	contacto	geotag	asignado	
18	Comidas	Gastronomia Ferullo		606-5352		si	si	luciana			
19	Computación	Electro.nic		561-2401		si	si	Luz			
24	Golosinas	Dulci Nard		409-1213		si	si	Luz			
25	Golosinas	La golosineria		438-8938		si	si	roxana			
26	Helados	Stick		532-2220		si	si	luciana			
27	Librerías	Florida		354-8986	Florida 40	no	si	roxana			
28	Librerías	La Solanita		530-9283	Av. Solano Vera 540	si	si	luciana			
29	Librerías	Tienda de Arte		510-6349	Av. Aconquija 1273	si	si	google		Alejandro	
30	Librerías	El Lapacho - Copistería		547-0025	Av. Aconquija 2196	si	si	google		Alejandro	
32	Limpieza	Servicio Integral de Limpieza		572-0361		si	si	luciana			
35	Limpieza	Articulos de limpieza		569-2709		no	si	luciana			
36	Panaderías	Albertus		345-5668	Av. Perón 165	no	si	google		Alejandro	
40	Panaderías	Albertus		401-8337	Av. Perón 1500	si	si	sofia			
41	Panaderías	Albertus		604-3789	Av. Aconquija 889	si	si	sofia			
43	Pastas	Avanti		668-0086	Solano Vera esq Mendozaa Local 5	si	si	luciana			
51	Pollerías	Drugstore y Polleria JOA		548-3721	Lobo de la Vega 300	si	si	sofia			
113	Fiambres	Distribuidora Candelaria		565-1195		si	si	hernan			
118	Farmacias	Farmacia Los Alisos		4671685	Av. Aconquija 2491	no	si	roxana			
119	Fiambres	JRB		5651195	Mexico 3186	si	si	luciana			
121	Farmacias	Su Farm		683-8347	Av. Perón 1900	si	si	luciana			
132	Pollerías	Mi Sofi		352-3176	Saavedra Lamas 900	si	si	google		Alejandro	
137	Pollerías	La Polleria		413-1614	Av. Solano Vera 990	si	si	google		Alejandro	
140	Pollerías	San Expedito		511-7163	Nicolás Avellaneda 3	si	si	google		Alejandro	
143	Pollerías	Granja Fico		680-7500	Lobo de la Vega 19	si	si	google		Alejandro	
149	Semillerías	El Molino		300-7209		si	si	luciana			
150	Servicios	Paolo (Piletas)		319-6969		si	si	sofia			
154	Servicios	Cesar Sarmiento (Enfermero)		474-0843		si	si	pia			
156	Servicios	Alberto (Piletas)		545-4014		si	si	sofia			
157	Servicios	German (Cerrajero)		628-1385		si	si	sofia			
162	Servicios	Marcos Dibenedeto (Piletas)		670-3706		si	si	luciana			
164	Tintorerías	Secco Presto		628-7381	Lobo de la Vega 350	si	si	marcelo		Marcelo	
165	Verdulerías	Nicolás Bennasar		442-6999		si	si	sofia			
166	Verdulerías	Tomas		463-3445	Av. Perón 139	si	si	sofia			
167	Verdulerías	La Boutique de la Verdura		302-0686	Mendoza 108	si	si	google		Alejandro	
168	Verdulerías	Cajones de Verdura a domicilio		405-5990		si	si	luciana			
170	Verdulerías	Cebil		662-5023		si	si	luciana			
174	Veterinarias	Puro Pelo		413-2263	Av. Aconquija 2491	si	si	google		Alejandro	
175	Veterinarias	Quara		669-7088	Gral. José de San Martín 1350	si	si	google		Alejandro	
177	Veterinarias	Cerro Tienda de Mascotas		679-4922	Universo 27	si	si	luciana			
180	Computación	Flash Games		414-1610	Catamarca 410	si	si				
